id,trigger,conditions,script,text,options,notes
"#RULESET_NAME Vass",,,,,,
,,,,,,
# FleetEncounters,,,,,,
,,,,,,
# General,,,,,,
vass_shipLootEncounter,BeginFleetEncounter,"$faction.id == vass score:1000
VassFleetIsLootPunishFleet","unset $entity.ignorePlayerCommRequests
AddText ""You are being hailed."" $faction.baseColor
$talked = true 7
MakeOtherFleetPreventDisengage vassExtortion true
MakeOtherFleetAggressive vassExtortion true
OpenComms",,,
vass_firstShipLootEncounter,BeginFleetEncounter,"$faction.id == vass score:1000
VassFleetIsLootPunishFleet
VassFirstTimePlayerLootsShip","unset $entity.ignorePlayerCommRequests
AddText ""You are being hailed."" $faction.baseColor
$talked = true 7
MakeOtherFleetPreventDisengage vassExtortion true
MakeOtherFleetAggressive vassExtortion true
OpenComms",,,
vass_endCommLink,DialogOptionSelected,"$option == vassEndCommLink","EndConversation",,,
"#END General",,,,,,
,,,,,,
# Perturba,,,,,,
vass_perturba_handoverBroke,DialogOptionSelected,"$option == vassPerturbaHandover
VassPlayerHasOnlyVassShips","AddText ""Gained 1x Mercury-class Shuttle"" textPlayerColor
AddText ""Lost all Vass ships and fighters"" textEnemyColor
VassRemoveVassShipsGiveCompensation
MakeOtherFleetPreventDisengage vassExtortion false
MakeOtherFleetAggressive vassExtortion false
EndConversation","""Good decision. Of course, we can't just leave you drifting here without a ship, now can we? That'd frankly just send the wrong message now that you've gone ahead and actually cooperated. Luckily for you, we happened to just get our hands on a decent enough little frigate; should be enough for you to get back to civilization, I hope. ""

After getting all your crew and resources abord the frigate, you are transferred command of the vessel and the Perturba fleet assumes a neutral posture, convinced you're no longer a threat","vassEndCommLink:Continue
",
vass_perturba_handover,DialogOptionSelected,"$option == vassPerturbaHandover","AddText ""Lost all Vass ships and fighters"" textEnemyColor
VassRemoveVassShips
MakeOtherFleetPreventDisengage vassExtortion false
MakeOtherFleetAggressive vassExtortion false
EndConversation","""Finally, someone with some sense in their skull! You'd be amazed at how many people like playing hero in these kind of situations. Just don't try anything fancy behind my back now; we'll know of a relapse, and I can tell you right now that the situation won't be nearly as pleasant for either of us.""

The commlink is cut from the other end.

OR
""Smart move. Just... keep making smart moves, OK? I'd honestly prefer it if we never have to meet again.""

The Perturba $PersonRank closes the line.","vassEndCommLink:Continue
",
vass_perturba_refuseHandover,DialogOptionSelected,"$option == vassPerturbaRefuseHandover","$entity.ignorePlayerCommRequests = true 1
EndConversation","""Oh, it'll be over your dead body alright""

The Perturba $PersonRank closes the line.
OR
$PersonRank $personName sighs.

""Should've just shot you to begin with. Oh well, I plan to rectify that mistake.""

The line cuts off.","vassEndCommLink:Continue
",
vass_perturba_firstShipLootEncounter,OpenCommLink,"$faction.id == vass score:1000
VassFleetIsLootPunishFleet
VassFirstTimePlayerLootsShip score:1000","VassReportFirstLootingContact
VassReportLootingContact","""So. You may not quite understand what you've done here, but let's just put it this way: we don't take kindly to people looting highly profitable merchandise under our noses. If you just hand over any and all tech you've...  'salvaged'... from the families, we can go both our merry way and pretend nothing happened, OK?\n\nThere will not be a second warning.""
OR
""Alright, so. Technically speakin', I shouldn't be talkin' to ya at the moment. But I'm a kind soul, ya know? How were you s'posed to know what ya did wrong without anyone tellin' ya? So I'm here to make things easy on you.\n\nYou just hand over any and all equipment you found tumbling around with the little label that spells 'Vass Shipyards', and we can both just go home and laugh this incident off.\n\nI should tell you this is a one-time deal: next time I find ya scuttlin' around stealin' Perturba property? They're not gonna let me back home until I personally put you on the other end of a plasma bolt.""","vassPerturbaHandover:Hand over the goods; it's not worth the trouble
vassPerturbaRefuseHandover:Over your dead body",
"#END Perturba",,,,,,
"#END FleetEncounters",,,,,,
,,,,,,
# Relationship Level Descriptions,,,,,,
vass_relLevelNeutral,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == vass",,"The Vass families have made note of you, and consider you a useful asset. While they still don't entrust you with their ships or more critical missions, they are interested in furthering relations.",,
vass_relLevelInhospitable,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == vass",,"The $faction families consider you largely beneath their notice, should they know of you at all. They consider you the same way they consider most other independent starfarers; potential profit with a knack for being troublesome.",,
vass_relLevelSuspicious,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == vass",,"You have shown to respect the Vass families and their internal affairs to such an extent that they at least partially respect your presence.",,
vass_relLevelFavorable,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == vass",,"You have useful connections within at least one of the families, and have relatively free access to their services as long as you don't go sticking your nose too deep.",,
vass_relLevelWelcoming,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == vass",,"At least one Vass family considers you a possible member. You have been granted special permission to keep salvaged Vass ships for personal use, though they will not be merciful should you exploit this trust by selling them off second-hand.",,
vass_relLevelCooperative,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == vass",,"You have made great contributions to at least one of the families, and can expect proportional treatment for this. They entrust you with both ownership and reselling of any Vass vessels you desire, bar anything personally owned by a family head.",,
vass_relLevelFriendly,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == vass",,"The families consider you as one of their own. You are free to own and purchase Vass ships for personal use, and they may be willing to overlook minor reselling to an extent.",,
vass_relLevelHostile,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == vass",,"Your acts of defiance or aggression against the $faction families have not gone unnoticed. While they aren't actively hunting you down, friendly encounters are not to be expected.",,
vass_relLevelVengeful,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == vass",,"The $faction families have a price on your head, and at least one of them are actively hunting you for your troublesome actions. Needless to say, you are no longer welcome to do business of any kind.",,
"#END Relationship Level Descriptions",,,,,,

